Date,Time,Temperature (°C),Interval
14-04-2025,10:30:11,27.7,30 sec
14-04-2025,10:30:41,27.7,30 sec
14-04-2025,10:31:11,27.7,30 sec
14-04-2025,10:31:41,27.7,30 sec
14-04-2025,10:32:11,27.6,30 sec
14-04-2025,10:32:41,27.6,30 sec
14-04-2025,10:33:11,27.6,30 sec
14-04-2025,10:33:41,27.6,30 sec
14-04-2025,10:34:11,27.6,30 sec
14-04-2025,10:34:41,27.6,30 sec
