Device Name: BLE_TEMPERATURE_02
Device Address: 48:23:35:36:16:53
Baby Name: sanjeevfcc
Baby Id: 67
Data,Date,Time
27.07,2025-03-18,14:32:00
27.24,2025-03-18,14:37:00
27.68,18--03-2025,15:05:31
27.29,18--03-2025,15:06:01
27.48,18--03-2025,15:06:31
27.12,18--03-2025,15:07:01
27.36,18--03-2025,15:07:31
