Temperature(°C),Date,Time
36.5,20-03-2025,12:02:55
36.5,20-03-2025,12:02:56
36.5,20-03-2025,12:02:57
36.5,20-03-2025,12:02:58
36.5,20-03-2025,12:02:59
-,-,-
36.5,20-03-2025,12:03:35
36.5,20-03-2025,12:03:36
36.5,20-03-2025,12:03:37
36.5,20-03-2025,12:03:38
36.5,20-03-2025,12:03:39
-,-,-
